"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",-3.46077967993532,-3.66501050261743,-4.66633831438275,-3.56237451227952,-3.29638513090263
"2","TC",3.8622275575511,4.36099186652281,3.05655408819161,4.71343756673888,4.66209849923798
"3","FAT_mass",-6.82187750773027,-6.51778984716126,-7.41540994258682,-9.10579279778126,-6.57985586959261
"4","HDL_C",3.28593215805031,3.59893854163042,2.39922655445822,3.46715274608953,3.86338301577516
"5","LDL_C",5.60223137028555,6.56237290496108,6.83203181662268,7.93598353182845,6.46329468817012
"6","BMI",-0.906738258794824,-1.08851903483144,-1.26190710078512,-2.32186470615501,-1.05529830722724
"7","SPPB",9.71240335412486,12.6363241012153,10.2409433353022,14.6188641201024,11.7817425758237
"8","Frailty_B",6.80325454385734,8.44042328528933,7.11156448043557,9.03430732441222,8.14823328774288
"9","CES_D",-2.60226104776671,-3.35427276767652,-4.72447860265759,-4.10746729625037,-2.71055247981066
"10","Overall",4.22872090625993,6.86816514145931,4.27826971847265,6.28012152065669,6.24788089356815
