"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",-2.68608981691957,-3.15576562337353,-4.49697916227354,-3.36912331592105,-2.46558434351177
"2","TC",3.43943182150811,3.49191308881146,1.89273676934853,3.83204635661857,3.79371343091276
"3","FAT_mass",-7.47982711947508,-6.11237799842617,-7.62439862653274,-9.60468127846447,-5.83049161204634
"4","HDL_C",4.92559467781898,5.31329538598084,5.75571427121649,6.76706435540575,5.17201641889406
"5","LDL_C",2.76268626940642,2.92649837918556,1.45629122161916,2.82575986501516,3.07305067655607
"6","BMI",-0.63644505071129,-0.166149096185722,-0.718642809158149,-1.83460880645979,-0.0690478420582727
"7","SPPB",10.9468531628849,11.2419957622483,8.30698269594711,13.7464076009832,10.8578177736043
"8","Frailty_B",7.9417813956778,7.18704687917944,5.34917122173706,8.12469338705962,7.60424748417746
"9","CES_D",-2.99010162567554,-2.687316554786,-3.41969408335394,-3.65801257048413,-2.41560564789098
"10","Overall",4.62943130255096,6.61930093361347,4.27278418355966,5.57442464624019,5.97883613387381
