"","outcome","ADEPT","Oak","SDT","Stepcount","Verisense"
"1","TG",-2.88098262573733,-3.09642439592183,-4.19175755833717,-2.86907274166254,-2.66061606656908
"2","TC",3.24446246233736,3.4891971911816,2.14223824826028,3.86837760197504,3.81500828117481
"3","FAT_mass",-7.32769289619946,-5.6960817011904,-6.86266902672915,-8.83469794805364,-5.63034353571304
"4","HDL_C",4.66828744249643,5.40420507955752,6.01295299454565,6.60468469355629,5.28613892341108
"5","LDL_C",2.74566196917228,2.86463698348988,1.52426186970033,2.79588159551258,3.13511084120048
"6","BMI",-1.06611031670571,-0.791670256129923,-0.992526396798686,-2.18645869269749,-0.786288395881528
"7","SPPB",10.4015528651448,10.7946943697493,7.51505150687449,12.8794176750317,10.5045826959728
"8","Frailty_B",7.79452098968966,7.23825066136087,5.41130244468971,8.05452428221419,7.63575441607092
"9","CES_D",-3.09591614515157,-3.15562018864567,-3.93128460474818,-4.05605972135459,-2.71106410861671
"10","Overall",4.3542942378901,6.48433471942695,4.05498701343304,5.59556229410147,5.75658149961743
